Name,Status,State,36617,40269,43922
Columbia,Urban Area,South Carolina,420537,549777,590407
Columbia (incl. Mount Pleasant),Urban Area,Tennessee,37886,38472,42423
Columbia City,Urban Area,Indiana,7371,9225,10256
Columbia Falls,Urban Area,Montana,4652,6029,6589
Columbiana,Urban Area,Ohio,,8101,9160
Columbus,Urban Area,Georgia / Alabama,242324,253602,267746
Columbus,Urban Area,Indiana,50227,54933,60982
Columbus,Urban Area,Mississippi,,,26895
Columbus,Urban Area,Nebraska,21018,22106,24838
Columbus,Urban Area,Ohio,1169987,1368035,1567254
Columbus,Urban Area,Wisconsin,4432,6623,6977
Colusa,Urban Area,California,6066,6791,6955
Colville,Urban Area,Washington,5281,4966,5058
Commerce,Urban Area,Georgia,4835,6624,7688
Commerce,Urban Area,Texas,7218,7717,8320
Concord,Urban Area,New Hampshire,,42611,42549
Concord,Urban Area,North Carolina,163461,214881,278612
Concordia,Urban Area,Kansas,5646,5340,5031
Concord - Walnut Creek,Urban Area,California,,,538583
Conesus Lake,Urban Area,New York,3534,4858,4867
Conneaut,Urban Area,Ohio,,,12072
Conneaut Lakeshore,Urban Area,Pennsylvania,,,2846
Connell,Urban Area,Washington,2910,4076,5437
Connellsville,Urban Area,Pennsylvania,,,30777
Connersville,Urban Area,Indiana,16770,15347,14401
Conway,Urban Area,Arkansas,43891,65277,66619
Conway,Urban Area,New Hampshire,,,5272
Cookeville,Urban Area,Tennessee,34784,44207,49089
Coolbaugh - Pocono Pines (Mount Pocono),Urban Area,Pennsylvania,14924,24216,24893
Coolidge,Urban Area,Arizona,7942,10919,12008
Coos Bay,Urban Area,Oregon,31471,31386,31688
Coquille,Urban Area,Oregon,4796,4359,4373
Corcoran,Urban Area,California,,,22377
Cordele,Urban Area,Georgia,13170,12416,10931
Corinth,Urban Area,Mississippi,11777,12469,12464
Corinth,Urban Area,New York,2945,3995,3870
Cornelia - Baldwin,Urban Area,Georgia,13408,18578,19489
Corning,Urban Area,California,7671,8553,8459
Corning,Urban Area,New York,18573,20477,19541
Corona de Tucson,Urban Area,Arizona,,5469,7866
Corpus Christi,Urban Area,Texas,293925,320069,339066
Corry,Urban Area,Pennsylvania,7158,6571,6224
Corsicana,Urban Area,Texas,23182,22599,24380
Cortez,Urban Area,Colorado,8061,8380,8628
Cortland,Urban Area,New York,26820,27493,24866
Corvallis,Urban Area,Oregon,58229,62433,66791
